algorithm,input_type,n,time_ms,max_depth,comparisons,swaps,shifts
MergeSort,RANDOM,1000,0.4285,7,10473,0,3815
QuickSort,RANDOM,1000,0.6312,7,11298,5750,0
DeterministicSelect,RANDOM,1000,0.4018,5,9279,3225,3050
MergeSort,RANDOM,5000,1.1902,10,58839,0,11301
QuickSort,RANDOM,5000,0.8032,8,91019,45458,0
DeterministicSelect,RANDOM,5000,0.9361,6,49079,17156,16721
MergeSort,RANDOM,10000,1.1456,11,127534,0,22473
QuickSort,RANDOM,10000,1.5362,10,157319,81864,0
DeterministicSelect,RANDOM,10000,1.0138,6,98082,34553,32945
MergeSort,RANDOM,50000,11.1384,13,769684,0,140104
QuickSort,RANDOM,50000,4.7658,11,895443,436818,0
DeterministicSelect,RANDOM,50000,12.7425,7,503035,177610,170567
MergeSort,RANDOM,100000,11.9200,14,1639269,0,280075
QuickSort,RANDOM,100000,7.8860,13,1920192,1001143,0
DeterministicSelect,RANDOM,100000,5.7102,8,1003058,358060,333698
MergeSort,RANDOM,500000,43.9862,16,9612731,0,1784980
QuickSort,RANDOM,500000,43.8610,13,12199889,6353570,0
DeterministicSelect,RANDOM,500000,17.1039,9,5155464,1846547,1707919
MergeSort,SORTED,1000,0.0132,7,3956,0,0
QuickSort,SORTED,1000,0.0360,7,10278,1008,0
DeterministicSelect,SORTED,1000,0.0310,5,6994,2943,896
MergeSort,SORTED,5000,0.0727,10,27124,0,0
QuickSort,SORTED,5000,0.2293,10,67950,4954,0
DeterministicSelect,SORTED,5000,0.1615,6,37673,15922,5578
MergeSort,SORTED,10000,0.1561,11,59248,0,0
QuickSort,SORTED,10000,0.4258,9,156492,10014,0
DeterministicSelect,SORTED,10000,0.2523,6,72669,31100,10557
MergeSort,SORTED,50000,0.9731,13,347008,0,0
QuickSort,SORTED,50000,1.9537,11,917267,50010,0
DeterministicSelect,SORTED,50000,1.2402,7,384522,163677,60844
MergeSort,SORTED,100000,2.6483,14,744016,0,0
QuickSort,SORTED,100000,4.3266,12,1975692,99916,0
DeterministicSelect,SORTED,100000,2.3103,8,739053,317431,111576
MergeSort,SORTED,500000,12.9518,16,4226160,0,0
QuickSort,SORTED,500000,17.0227,14,11317524,500668,0
DeterministicSelect,SORTED,500000,9.7225,9,3893576,1658714,629649
MergeSort,REVERSE_SORTED,1000,0.0423,7,10300,0,7320
QuickSort,REVERSE_SORTED,1000,0.0624,7,10281,4624,0
DeterministicSelect,REVERSE_SORTED,1000,0.0703,5,9374,3183,3812
MergeSort,REVERSE_SORTED,5000,0.1593,10,44324,0,21960
QuickSort,REVERSE_SORTED,5000,0.2646,9,69876,27216,0
DeterministicSelect,REVERSE_SORTED,5000,0.1629,6,49430,17142,19807
MergeSort,REVERSE_SORTED,10000,0.5349,11,93648,0,43920
QuickSort,REVERSE_SORTED,10000,0.7561,10,150999,66652,0
DeterministicSelect,REVERSE_SORTED,10000,0.5721,6,100126,34821,39734
MergeSort,REVERSE_SORTED,50000,2.4393,13,579408,0,280512
QuickSort,REVERSE_SORTED,50000,2.7328,11,961865,387766,0
DeterministicSelect,REVERSE_SORTED,50000,1.8506,7,505168,177068,202219
MergeSort,REVERSE_SORTED,100000,5.6234,14,1208816,0,561024
QuickSort,REVERSE_SORTED,100000,6.8451,12,1986878,709416,0
DeterministicSelect,REVERSE_SORTED,100000,3.1414,8,1021595,358848,409502
MergeSort,REVERSE_SORTED,500000,23.2305,16,7308912,0,3567840
QuickSort,REVERSE_SORTED,500000,24.8490,13,11627613,4347718,0
DeterministicSelect,REVERSE_SORTED,500000,18.4566,9,5198399,1824377,2072937
MergeSort,DUPLICATE_HEAVY,1000,0.0548,7,10188,0,3550
QuickSort,DUPLICATE_HEAVY,1000,0.0829,6,16907,4389,0
DeterministicSelect,DUPLICATE_HEAVY,1000,0.0230,5,4463,1555,1423
MergeSort,DUPLICATE_HEAVY,5000,0.3134,10,58602,0,11069
QuickSort,DUPLICATE_HEAVY,5000,0.3477,7,95009,24966,0
DeterministicSelect,DUPLICATE_HEAVY,5000,0.1077,6,23651,8376,7685
MergeSort,DUPLICATE_HEAVY,10000,0.6809,11,126961,0,21904
QuickSort,DUPLICATE_HEAVY,10000,0.8120,8,213725,59945,0
DeterministicSelect,DUPLICATE_HEAVY,10000,0.7090,6,91934,32383,30127
MergeSort,DUPLICATE_HEAVY,50000,5.3079,13,769196,0,139723
QuickSort,DUPLICATE_HEAVY,50000,5.0932,9,1198288,419629,0
DeterministicSelect,DUPLICATE_HEAVY,50000,2.5263,7,490304,175887,158541
MergeSort,DUPLICATE_HEAVY,100000,14.6885,14,1639321,0,280538
QuickSort,DUPLICATE_HEAVY,100000,9.5646,10,2522512,836222,0
DeterministicSelect,DUPLICATE_HEAVY,100000,4.1736,8,975195,353642,309831
MergeSort,DUPLICATE_HEAVY,500000,55.2770,16,9614516,0,1786708
QuickSort,DUPLICATE_HEAVY,500000,79.2206,12,14385655,5029333,0
DeterministicSelect,DUPLICATE_HEAVY,500000,26.3625,9,5037930,1802616,1661170
ClosestPair,RANDOM,500,7.7030,9,4236,0,0
ClosestPair,RANDOM,1000,6.8863,10,9552,0,0
ClosestPair,RANDOM,2000,7.4180,11,21089,0,0
ClosestPair,RANDOM,5000,16.6826,12,57591,0,0
ClosestPair,RANDOM,10000,29.9947,13,125285,0,0
ClosestPair,RANDOM,50000,230.3068,16,726180,0,0
ClosestPair,RANDOM,100000,295.7478,17,1552723,0,0
